profesor,url,komentar
Pečnik Sašo,https://profesorji.net/profesor/feri/uni/saso-pecnik,"moč komentarja:-3+10Slabo razlaga, z njim se ne da dogovoriti nič, tudi če je krivda na njegovi strani.strinjam sene strinjam se"
Pečnik Sašo,https://profesorji.net/profesor/feri/uni/saso-pecnik,"moč komentarja:-3+10Antipatičen, pa pojma nima ko razlaga. Je podal navodila za primer naloge, ni znal rešit, prepisal rešitev brez postopkov iz lista in nadaljeval z snovjo.strinjam sene strinjam se"
Pečnik Sašo,https://profesorji.net/profesor/feri/uni/saso-pecnik,Napisal:Erikmoč komentarja:-1+6Isti je ko jas zato ma moj respectstrinjam sene strinjam se
Pečnik Sašo,https://profesorji.net/profesor/feri/uni/saso-pecnik,"moč komentarja:-3+2Katastrofa od učitelja in človeka. Nezmotljivi, aroganten, ko prideš na zagovor k njemu v kabinet, te gleda kot da si mu nekaj naredil. Njegovo podajanje snovi zgleda tako, da bere iz lista, ko pa vprašaš za razlago, nima pojma.. Temu primerna ocenastrinjam sene strinjam se"
Pečnik Špela,https://profesorji.net/profesor/feri/uni/spela-pecnik,moč komentarja:-0+53MLJASK!strinjam sene strinjam se
Pečnik Špela,https://profesorji.net/profesor/feri/uni/spela-pecnik,moč komentarja:-0+41Raketastrinjam sene strinjam se
Pečnik Špela,https://profesorji.net/profesor/feri/uni/spela-pecnik,"moč komentarja:-0+26Zlata! Super prijazna, vedno pripravljena pomagat.strinjam sene strinjam se"
Pečnik Špela,https://profesorji.net/profesor/feri/uni/spela-pecnik,moč komentarja:-0+20Top! Najboljši asistent!strinjam sene strinjam se
Pečnik Špela,https://profesorji.net/profesor/feri/uni/spela-pecnik,"moč komentarja:-0+0ZELO prijazna, zelo vreje asistent, nesem še bolšega asistenta mel kot njostrinjam sene strinjam se"
Pihler Jože,https://profesorji.net/profesor/feri/uni/joze-pihler,"Fakulteta za elektrotehniko, računalništvo in informatiko / UNIJože Pihler4.8/5Število ocen:45Predmeti:Hidroelektrarne(3L)dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja."
Pihler Jože,https://profesorji.net/profesor/feri/uni/joze-pihler,Jože Pihler4.8/5Število ocen:45Predmeti:Hidroelektrarne(3L)dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja.
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,"Napisal:Muffinmoč komentarja:-19+76Edini profesor kateremu lahko dam brez kakršnih koli pomislekov 1...najslabši profesor na feriju...res se sliši nemogoče ampak je še slabši od Žumerja...tako kot je že bilo rečeno bo naredil vse da oteži vaje...nov sistem ocenjevanja vaj kot ga ima on je popoln absurd...zahteva da vso kodo na pamet znaš in mu v roku ure, ure pa pol narediš brezhiben program in še povrhu tega da deluje brez vsakršnih napak...in ja še nekaj ta program moraš delati po že vnaprej določenem vmesniku kar še le otežuje zadevo in ne da študentom nikakršno svobodo glede oblikovanja kode...žalostno vse skupaj...še nekaj če ti uspe ta program narediti vsaj približno kot je zahtevano ti itak da 50% pik manj ker program samo zažene in če dela dela če ne ne...strinjam sene strinjam se"
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,"Napisal:MatejKmoč komentarja:-21+76Največji in najuspešnejši iskalec neznanja na FERI, naredil bo vse kar ima v moči da uteži delo študentom. In zaradi nezainteresiranosti profesorjev do vaj, ki sploh nimajo blage veze kako potekajo in kaj se dogaja na vajah (""kar je SRAMOTA za feri""), in s pomočjo njegovega ega lahko dela kaj mu paše. Po novem pa ima tudi prste v teoretičnih delih predmetov.strinjam sene strinjam se"
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,Napisal:GangstaRapmoč komentarja:-19+67kaj naj rečem.. legenda (v negativnem smislu). nov sistem ocenjevanja je pa itak legendaren. NOTstrinjam sene strinjam se
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,"moč komentarja:-7+27Prepotenten, vzvišen, nepošten. Nekje na stopnji Nerata. Sramota za šolo in vse zaposlene v GeMMi.strinjam sene strinjam se"
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,moč komentarja:-0+17Pozdravi Lijostrinjam sene strinjam se
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,"Napisal:BeatTheCrapmoč komentarja:-5+17Ta predmet bi komot ukinili, tako ali tako nima smisla.
Programiral sem že za razna podjetja in tam ti moraš vse znanje sam iskat in se ga naučit.
Skoraj tako kot pri tem predmetu.
Mislim, da bi morali zahtevati le toliko znanja, kot ga lahko sami podajo in utemeljijo!
FERI!=Pogooglaj;strinjam sene strinjam se"
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,moč komentarja:-3+12V bistvu s svojim nelogičnim načinom ocenjevanja sproži pri študentih odpor do predmeta. Odkar ni več asistent za ARP na ri-t VS so rezultati pri študentih vrhunski. Znanje na kolokvijih je veliko boljše.strinjam sene strinjam se
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,moč komentarja:-1+8Čisto nesmiseln način ocenjevanja vaj. Zahteva da celotno kodo znaš na pamet napisat brez bilo kakšne pomoči z interneta ali vaj ki si jih sam doma delal in še to v nerealnem času. Pri njem sem imel občutek da bolj ocenjuje hitrost programiranja in sposobnost posameznika da se določene dele kode nauči na pamet.strinjam sene strinjam se
Pivec Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-pivec,"moč komentarja:-56+19Edino česar na vajah ne maram, je mfc. Predmet je koristen, asistenti pridejo takoj na pomoč - seveda če maš le tolko pameti v glavi in jih vprašaš kar te zanima. Niso bavbavi niti ne grizejo. 
Sicer priznam, da novega sistema ravno ne maram, ampak tudi ni napačen. Imam več časa, da nardim vaje za nazaj in brez pritiska. Kar se tiče samih vaj -  slej ko prej bote vidli, da so zelo, zelo koristne in govoričenje čez asistenta vam ne bo pomagalo pridobit znanje za vnaprej :)strinjam sene strinjam se"
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,"Napisal:Mitjamoč komentarja:-13+40Sploh mi kot prvo ni jasno kdo je temu prešernu dal doktorat on ja nima blage ka govori pa predavat tud ne zna - dejmo si priznat resnico. Mislim on je eden tistih, ki samo luft mešajo na feriju in nič pomembnega ne delajo razen organizacij nekih konferenc, na katere naproša da študentje 'gredo'.strinjam sene strinjam se"
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,"Napisal:Signalmoč komentarja:-11+35Pri nas je prvo prdavanje začel takole: ""Že dolgo nisem predaval signalov, predaval pa še dlje"" pol je pa pol ure tablo brisal. Zares v nulo jo je zbrisal in to je bilo prvo predavanje. Po enam mesecu ni blo veliko več iz njega.

Z njim lahko greš samo na pir, druga si z njim nemoreš pomagati.strinjam sene strinjam se"
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,"moč komentarja:-10+26Največja finta je, ko predava potem pa pozabi kje je končal :Dstrinjam sene strinjam se"
